Jul.Day,YYYY/MM/DD,Wdy,PLN/USD
2456660,02/01/2014,Thu,3.0485
2456661,03/01/2014,Fri,3.0659
2456664,06/01/2014,Mon,3.0629
2456665,07/01/2014,Tue,3.0691
2456666,08/01/2014,Wed,3.0754
2456667,09/01/2014,Thu,3.0739
2456668,10/01/2014,Fri,3.0452
2456671,13/01/2014,Mon,3.0454
2456672,14/01/2014,Tue,3.0305
2456673,15/01/2014,Wed,3.0565
2456674,16/01/2014,Thu,3.0665
2456675,17/01/2014,Fri,3.0703
2456678,20/01/2014,Mon,3.0654
2456679,21/01/2014,Tue,3.0743
2456680,22/01/2014,Wed,3.0722
2456681,23/01/2014,Thu,3.0569
2456682,24/01/2014,Fri,3.0677
2456685,27/01/2014,Mon,3.0759
2456686,28/01/2014,Tue,3.077
2456687,29/01/2014,Wed,3.0872
2456688,30/01/2014,Thu,3.123
2456689,31/01/2014,Fri,3.1454
2456692,03/02/2014,Mon,3.1386
2456693,04/02/2014,Tue,3.1141
2456694,05/02/2014,Wed,3.0991
2456695,06/02/2014,Thu,3.0773
2456696,07/02/2014,Fri,3.0691
2456699,10/02/2014,Mon,3.0646
2456700,11/02/2014,Tue,3.0557
2456701,12/02/2014,Wed,3.063
2456702,13/02/2014,Thu,3.0458
2456703,14/02/2014,Fri,3.0292
2456707,18/02/2014,Tue,3.0124
2456708,19/02/2014,Wed,3.0277
2456709,20/02/2014,Thu,3.0455
2456710,21/02/2014,Fri,3.0256
2456713,24/02/2014,Mon,3.0246
2456714,25/02/2014,Tue,3.021
2456715,26/02/2014,Wed,3.055
2456716,27/02/2014,Thu,3.0371
2456717,28/02/2014,Fri,3.0169
2456720,03/03/2014,Mon,3.0624
2456721,04/03/2014,Tue,3.0525
2456722,05/03/2014,Wed,3.0511
2456723,06/03/2014,Thu,3.0143
2456724,07/03/2014,Fri,3.0281
2456727,10/03/2014,Mon,3.0391
2456728,11/03/2014,Tue,3.0445
2456729,12/03/2014,Wed,3.0424
2456730,13/03/2014,Thu,3.0385
2456731,14/03/2014,Fri,3.0417
2456734,17/03/2014,Mon,3.0321
2456735,18/03/2014,Tue,3.0273
2456736,19/03/2014,Wed,3.0197
2456737,20/03/2014,Thu,3.0491
2456738,21/03/2014,Fri,3.046
2456741,24/03/2014,Mon,3.0456
2456742,25/03/2014,Tue,3.0427
2456743,26/03/2014,Wed,3.0338
2456744,27/03/2014,Thu,3.0293
2456745,28/03/2014,Fri,3.0312
2456748,31/03/2014,Mon,3.0266
2456749,01/04/2014,Tue,3.0252
2456750,02/04/2014,Wed,3.0322
2456751,03/04/2014,Thu,3.0408
2456752,04/04/2014,Fri,3.0368
2456755,07/04/2014,Mon,3.0332
2456756,08/04/2014,Tue,3.0188
2456757,09/04/2014,Wed,3.0169
2456758,10/04/2014,Thu,3.0044
2456759,11/04/2014,Fri,3.0093
2456762,14/04/2014,Mon,3.022
2456763,15/04/2014,Tue,3.0326
2456764,16/04/2014,Wed,3.0338
2456765,17/04/2014,Thu,3.0256
2456769,21/04/2014,Mon,3.0319
2456770,22/04/2014,Tue,3.0366
2456771,23/04/2014,Wed,3.0349
2456772,24/04/2014,Thu,3.0352
2456773,25/04/2014,Fri,3.0436
2456776,28/04/2014,Mon,3.0377
2456777,29/04/2014,Tue,3.0411
2456778,30/04/2014,Wed,3.0293
2456779,01/05/2014,Thu,3.0257
2456780,02/05/2014,Fri,3.0354
2456783,05/05/2014,Mon,3.0288
2456784,06/05/2014,Tue,3.0141
2456785,07/05/2014,Wed,3.0099
2456786,08/05/2014,Thu,3.0178
2456787,09/05/2014,Fri,3.0396
2456790,12/05/2014,Mon,3.0402
2456791,13/05/2014,Tue,3.0484
2456792,14/05/2014,Wed,3.0521
2456793,15/05/2014,Thu,3.0599
2456794,16/05/2014,Fri,3.055
2456798,20/05/2014,Tue,3.0578
2456799,21/05/2014,Wed,3.0625
2456800,22/05/2014,Thu,3.0501
2456801,23/05/2014,Fri,3.0499
2456804,26/05/2014,Mon,3.0523
2456805,27/05/2014,Tue,3.0531
2456806,28/05/2014,Wed,3.056
2456807,29/05/2014,Thu,3.0441
2456808,30/05/2014,Fri,3.0363
2456811,02/06/2014,Mon,3.0442
2456812,03/06/2014,Tue,3.048
2456813,04/06/2014,Wed,3.0338
2456814,05/06/2014,Thu,3.0347
2456815,06/06/2014,Fri,3.0036
